game,day,CDA.score,CH.score,CDA.score.marketshare,CH.score.marketshare,CDA.score.profit,CH.score.profit,CDA.score.transactionrate,CH.score.transactionrate,CDA.profit,CH.profit,CDA.trader,CH.trader,CDA.fee.registration,CDA.fee.information,CDA.fee.shout,CDA.fee.transaction,CDA.fee.profit,CH.fee.registration,CH.fee.information,CH.fee.shout,CH.fee.transaction,CH.fee.profit,global.equilibrium.price
0,0,+0.492,+0.718,+0.475,+0.525,+0.267,+0.733,+0.733,+0.895,+28.088,+77.229,+19.000,+21.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,1,+0.533,+0.704,+0.475,+0.525,+0.309,+0.691,+0.815,+0.895,+30.808,+69.053,+19.000,+21.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,2,+0.485,+0.712,+0.475,+0.525,+0.271,+0.729,+0.710,+0.882,+27.354,+73.497,+19.000,+21.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,3,+0.490,+0.729,+0.425,+0.575,+0.288,+0.712,+0.759,+0.900,+30.588,+75.695,+17.000,+23.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,4,+0.476,+0.744,+0.425,+0.575,+0.243,+0.757,+0.759,+0.900,+25.720,+80.101,+17.000,+23.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,5,+0.463,+0.750,+0.400,+0.600,+0.206,+0.794,+0.783,+0.857,+22.995,+88.594,+16.000,+24.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,6,+0.444,+0.752,+0.400,+0.600,+0.212,+0.788,+0.720,+0.870,+22.830,+84.680,+16.000,+24.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,7,+0.527,+0.684,+0.400,+0.600,+0.367,+0.633,+0.812,+0.821,+40.020,+68.966,+16.000,+24.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,8,+0.474,+0.757,+0.375,+0.625,+0.232,+0.768,+0.815,+0.878,+22.595,+74.794,+15.000,+25.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,9,+0.505,+0.741,+0.400,+0.600,+0.234,+0.766,+0.880,+0.857,+22.889,+75.038,+16.000,+24.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,10,+0.475,+0.732,+0.425,+0.575,+0.243,+0.757,+0.759,+0.865,+22.633,+70.560,+17.000,+23.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,11,+0.507,+0.756,+0.450,+0.550,+0.231,+0.769,+0.839,+0.947,+23.987,+79.933,+18.000,+22.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,12,+0.429,+0.766,+0.375,+0.625,+0.184,+0.816,+0.727,+0.857,+18.219,+80.903,+15.000,+25.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,13,+0.353,+0.836,+0.275,+0.725,+0.151,+0.849,+0.632,+0.933,+15.537,+87.384,+11.000,+29.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
0,14,+0.427,+0.770,+0.325,+0.675,+0.236,+0.764,+0.720,+0.872,+23.877,+77.125,+13.000,+27.000,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+103.637
