game,day,memory.max,memory.total,memory.used,memory.free
0,0,+1024000.000,+40960.000,+9357.000,+31603.000
0,1,+1024000.000,+34816.000,+8681.000,+26135.000
0,2,+1024000.000,+34816.000,+8688.000,+26128.000
0,3,+1024000.000,+34816.000,+8801.000,+26015.000
0,4,+1024000.000,+40960.000,+8796.000,+32164.000
0,5,+1024000.000,+37888.000,+8777.000,+29111.000
0,6,+1024000.000,+37888.000,+9238.000,+28650.000
0,7,+1024000.000,+40960.000,+8859.000,+32101.000
0,8,+1024000.000,+34816.000,+8798.000,+26018.000
0,9,+1024000.000,+34816.000,+8791.000,+26025.000
0,10,+1024000.000,+34816.000,+8792.000,+26024.000
0,11,+1024000.000,+40960.000,+8950.000,+32010.000
0,12,+1024000.000,+34816.000,+8853.000,+25963.000
0,13,+1024000.000,+34816.000,+8841.000,+25975.000
0,14,+1024000.000,+34816.000,+8791.000,+26025.000
0,15,+1024000.000,+40960.000,+8896.000,+32064.000
0,16,+1024000.000,+34816.000,+8857.000,+25959.000
0,17,+1024000.000,+34816.000,+8996.000,+25820.000
0,18,+1024000.000,+148480.000,+9600.000,+138880.000
0,19,+1024000.000,+45056.000,+9025.000,+36031.000
0,20,+1024000.000,+30720.000,+8923.000,+21797.000
0,21,+1024000.000,+30720.000,+8802.000,+21918.000
0,22,+1024000.000,+30720.000,+8832.000,+21888.000
0,23,+1024000.000,+45056.000,+9068.000,+35988.000
0,24,+1024000.000,+37888.000,+8956.000,+28932.000
0,25,+1024000.000,+37888.000,+9338.000,+28550.000
0,26,+1024000.000,+150528.000,+9702.000,+140826.000
0,27,+1024000.000,+40960.000,+9005.000,+31955.000
0,28,+1024000.000,+37888.000,+8906.000,+28982.000
0,29,+1024000.000,+34816.000,+8974.000,+25842.000
0,30,+1024000.000,+45056.000,+9145.000,+35911.000
0,31,+1024000.000,+34816.000,+8894.000,+25922.000
0,32,+1024000.000,+34816.000,+8922.000,+25894.000
0,33,+1024000.000,+34816.000,+8843.000,+25973.000
0,34,+1024000.000,+45056.000,+8971.000,+36085.000
0,35,+1024000.000,+30720.000,+8820.000,+21900.000
0,36,+1024000.000,+30720.000,+8821.000,+21899.000
0,37,+1024000.000,+146432.000,+9621.000,+136811.000
0,38,+1024000.000,+45056.000,+8967.000,+36089.000
0,39,+1024000.000,+34816.000,+8860.000,+25956.000
0,40,+1024000.000,+34816.000,+8877.000,+25939.000
0,41,+1024000.000,+34816.000,+8838.000,+25978.000
0,42,+1024000.000,+40960.000,+8926.000,+32034.000
0,43,+1024000.000,+34816.000,+8915.000,+25901.000
0,44,+1024000.000,+34816.000,+8874.000,+25942.000
0,45,+1024000.000,+34816.000,+8857.000,+25959.000
0,46,+1024000.000,+40960.000,+8917.000,+32043.000
0,47,+1024000.000,+37888.000,+8895.000,+28993.000
0,48,+1024000.000,+34816.000,+8896.000,+25920.000
0,49,+1024000.000,+148480.000,+9618.000,+138862.000
0,50,+1024000.000,+45056.000,+8963.000,+36093.000
0,51,+1024000.000,+37888.000,+8861.000,+29027.000
0,52,+1024000.000,+37888.000,+9366.000,+28522.000
0,53,+1024000.000,+34816.000,+8971.000,+25845.000
